3630
 500.0211  26.00  0.600  4.638  0.800  1
 500.0338  28.00  0.783  3.635  1.040  1
 500.0990  22.00  0.873  1.997  1.010  1
 500.1863  26.00  0.891  3.881  1.110  1
 500.1865  26.00  0.608  4.549  1.250  1
 500.2322  23.00  0.376  2.359  0.940  1
 500.2583  26.00  0.759  4.186  0.700  1
 500.2792  26.00  0.833  3.396  1.450  1
 500.3734  28.00  0.824  1.676  1.250  1
 500.4044  26.00  0.698  4.209  1.880  1
 500.4208  26.00  0.358  3.635  0.530  1
 500.4340  26.00  0.537  3.301  0.820  1
 500.4401  24.00  0.609  3.011  1.260  1
 500.4632  26.00  0.107  4.143  1.890  1
 500.4892  25.00  0.625  2.920  1.430  1
 500.5157  22.01  0.359  1.566  1.000  1
 500.5712  26.00  0.891  3.884  1.330  1
 500.6059  14.00  0.546  5.082  1.060  1
 500.6119  26.00  0.943  2.832  1.540  1
 500.7210  22.00  0.980  0.818  0.830  1
 500.7247  26.00  0.361  3.943  1.290  1
 500.7275  26.00  0.858  4.103  1.120  1
 500.7286  27.00  0.426  0.629  0.760  1
 500.7381  25.00  0.249  4.429  1.770  1
 500.7731  26.00  0.417  4.294  0.840  1
 500.8058  25.00  0.313  4.429  1.220  1
 500.8642  26.00  0.496  4.559  1.460  1
 500.8787  24.00  0.112  3.013  1.850  1
 500.9182  26.00  0.124  4.186  0.840  1
 500.9445  26.00  0.135  4.733  1.370  1
 500.9645  22.00  0.941  0.021  1.210  1
 500.9806  24.00  0.394  3.013  1.620  1
 501.0021  23.00  0.111  1.893  1.050  1
 501.0022  28.00  0.606  3.768  1.420  1
 501.0170  24.00  0.131  3.556  0.960  1
 501.0211  22.01  0.208  3.095  0.810  1
 501.0269  26.00  0.618  4.559  1.500  1
 501.0388  25.00  0.449  3.373  1.500  1
 501.0934  28.00  0.695  3.635  1.200  1
 501.1212  26.00  0.133  3.017  1.300  1
 501.1245  26.00  0.104  4.218  1.390  1
 501.2068  26.00  0.980  0.859  1.400  1
 501.2071  21.00  0.226  2.109  1.280  1
 501.2157  26.00  0.782  4.191  1.020  1
 501.2438  28.00  0.752  3.699  1.220  1
 501.2441  26.00  0.772  4.143  1.080  1
 501.2695  26.00  0.521  4.283 -0.030  1
 501.3280  22.00  0.880  2.017  1.070  1
 501.3314  24.00  0.822  2.708  1.350  1
 501.3677  22.01  0.619  1.582  1.290  1
 501.4187  22.00  0.982  0.000  0.750  1
 501.4211  28.00  0.499  4.419  1.040  1
 501.4276  22.00  0.980  0.813  0.510  1
 501.4620  23.00  0.434  2.374  1.000  1
 501.4942  26.00  0.866  3.943  1.050  1
 501.5315  26.00  0.647  4.076  1.060  1
 501.6161  22.00  0.959  0.848  1.330  1
 501.6478  26.00  0.580  4.256  1.730  1
 501.6652  26.00  0.337  3.695  0.950  1
 501.7373  24.00  0.180  3.551  1.040  1
 501.7568  28.00  0.836  3.539  1.390  1
 501.7638  25.00  0.284  5.181  1.200  1
 501.7736  41.00  0.106  0.049  1.500  1
 501.8027  26.00  0.536  3.635  1.180  1
 501.8158  24.00  0.151  3.847  1.020  1
 501.8278  28.00  0.670  3.833  1.010  1
 501.8351  26.00  0.114  3.882  1.640  1
 501.8413  26.00  0.443  3.237  1.100  1
 501.8440  26.01  0.806  2.891  1.930  1
 501.8611  26.00  0.122  4.607  2.650  1
 501.9152  25.00  0.204  4.435  1.650  1
 501.9169  26.00  0.218  4.580  0.680  1
 501.9177  24.00  0.735  0.968  2.760  1
 501.9659  26.00  0.528  4.143  1.150  1
 501.9731  26.00  0.567  3.984  1.130  1
 501.9889  22.00  0.290  2.239  0.980  1
 502.0026  22.00  0.966  0.836  1.250  1
 502.0494  26.00  0.548  4.607  1.390  1
 502.0665  26.00  0.296  3.252  1.500  1
 502.0715  25.00  0.453  4.435  1.290  1
 502.0817  26.00  0.415  3.547  0.770  1
 502.1590  26.00  0.775  4.256  0.380  1
 502.1682  26.00  0.683  4.218  1.110  1
 502.1801  26.00  0.103  4.608  1.350  1
 502.1902  24.00  0.677  0.941  1.510  1
 502.1940  26.00  0.793  3.274  2.370  1
 502.2082  25.00  0.205  3.378  1.730  1
 502.2235  26.00  0.847  3.984  0.620  1
 502.2789  26.00  0.828  2.990  1.250  1
 502.2868  22.00  0.966  0.826  1.080  1
 502.3186  26.00  0.601  4.283  0.760  1
 502.3333  22.00  0.258  2.160  1.330  1
 502.3498  26.00  0.540  4.312  1.370  1
 502.3668  24.00  0.149  3.011  1.940  1
 502.4792  26.00  0.313  4.186  1.740  1
 502.4844  22.00  0.960  0.818  0.670  1
 502.5081  26.00  0.435  4.260  0.400  1
 502.5303  26.00  0.395  4.284  1.470  1
 502.5554  24.00  0.661  0.983  2.360  1
 502.5570  22.00  0.886  2.041  1.110  1
 502.7027  24.00  0.344  3.013  1.650  1
 502.7123  26.00  0.829  4.154  0.900  1
 502.7226  26.00  0.753  3.640  1.170  1
 502.7293  26.00  0.454  3.640  1.060  1
 502.7343  26.00  0.187  3.984 -0.190  1
 502.7634  24.00  0.265  3.450  1.610  1
 502.7757  26.00  0.730  4.209  0.720  1
 502.8054  24.00  0.353  3.013  1.310  1
 502.8126  26.00  0.846  3.573  0.870  1
 502.8353  26.00  0.210  4.638  1.600  1
 502.9016  23.00  0.115  2.616  1.170  1
 502.9618  26.00  0.776  3.415  1.300  1
 502.9796  25.00  0.471  2.941  1.390  1
 503.0291  22.00  0.500  2.334  0.970  1
 503.0636  25.00  0.409  3.383  1.500  1
 503.0778  26.00  0.633  3.237  1.100  1
 503.1021  21.01  0.805  1.357  1.000  1
 503.1038  26.00  0.634  3.642  1.250  1
 503.1914  26.00  0.525  4.371  1.150  1
 503.2723  28.00  0.404  3.898  1.100  1
 503.4460  26.00  0.461  4.283  2.460  1
 503.4777  22.00  0.153  2.231  0.530  1
 503.5357  28.00  0.847  3.635  1.000  1
 503.5503  22.00  0.702  2.345  1.100  1
 503.5903  22.00  0.949  1.460  1.050  1
 503.5967  28.00  0.801  3.655  1.250  1
 503.6464  22.00  0.944  1.443  1.000  1
 503.6717  24.00  0.143  3.010  2.740  1
 503.8397  22.00  0.938  1.430  0.830  1
 503.8511  26.00  0.524  3.882  0.880  1
 503.8588  28.00  0.771  3.833  1.360  1
 503.8903  24.00  0.107  1.004  2.150  1
 503.9022  41.00  0.104  0.019  1.500  1
 503.9126  24.00  0.246  3.011  2.110  1
 503.9178  26.00  0.142  4.283  1.120  1
 503.9251  26.00  0.834  3.368  1.550  1
 503.9355  28.00  0.602  3.635  0.740  1
 503.9942  22.00  0.191  2.333  0.540  1
 503.9957  22.00  0.982  0.021  1.010  1
 504.0254  26.00  0.417  4.220  0.620  1
 504.0613  22.00  0.871  0.826  2.160  1
 504.0739  28.00  0.247  3.655  1.710  1
 504.0852  26.00  0.810  4.256  1.190  1
 504.0907  26.00  0.828  4.283  0.690  1
 504.1012  28.00  0.574  3.833  0.380  1
 504.1072  26.00  0.966  0.958  1.500  1
 504.1347  26.00  0.131  3.017  1.220  1
 504.1448  26.00  0.159  4.549  1.300  1
 504.1618  20.00  0.882  2.709  1.010  1
 504.1756  26.00  0.966  1.485  1.510  1
 504.1849  26.00  0.779  4.283  1.120  1
 504.1894  22.00  0.228  2.334  1.040  1
 504.2182  28.00  0.749  3.658  0.820  1
 504.2416  26.00  0.428  3.884  1.410  1
 504.2507  24.00  0.142  3.013  0.890  1
 504.2583  25.00  0.198  2.953  1.340  1
 504.3584  22.00  0.874  0.836  2.010  1
 504.4211  26.00  0.855  2.851  1.770  1
 504.5415  22.00  0.845  0.848  1.930  1
 504.6602  40.00  0.380  1.530  1.100  1
 504.7126  26.00  0.180  4.584  1.080  1
 504.7244  23.00  0.218  1.931  1.070  1
 504.7698  26.00  0.428  3.695  1.270  1
 504.8055  28.00  0.553  3.833  0.500  1
 504.8181  26.00  0.446  4.231  0.730  1
 504.8216  22.00  0.482  2.154  1.010  1
 504.8232  28.00  0.494  3.847  1.240  1
 504.8436  26.00  0.808  3.960  1.430  1
 504.8748  24.00  0.843  0.983  1.920  1
 504.8843  28.00  0.739  3.847  1.070  1
 504.8953  26.00  0.346  4.209  1.020  1
 504.9820  26.00  0.949  2.279  1.140  1
 505.0463  26.00  0.234  4.607  1.450  1
 505.0584  26.00  0.136  2.198  1.250  1
 505.1277  26.00  0.752  4.220  1.700  1
 505.1506  28.00  0.693  3.655  1.240  1
 505.1634  26.00  0.975  0.915  1.350  1
 505.1898  24.00  0.868  0.941  2.000  1
 505.2054  22.00  0.313  2.345  1.350  1
 505.2870  22.00  0.826  2.175  1.200  1
 505.2982  26.00  0.446  3.267  0.930  1
 505.3280  74.00  0.190  0.207  2.250  1
 505.4074  22.00  0.444  2.677  1.020  1
 505.4643  26.00  0.743  3.640  1.260  1
 505.5581  24.00  0.171  3.464  1.280  1
 505.5992  26.00  0.390  4.312  1.910  1
 505.6841  26.00  0.447  4.260  1.520  1
 505.7322  44.00  0.133  0.811  1.375  1
 505.7479  26.00  0.100  4.415  1.100  1
 505.7481  26.00  0.645  4.191  1.450  1
 505.7975  28.00  0.538  3.635  1.700  1
 505.7992  41.00  0.100  0.000  1.500  1
 505.8032  26.00  0.348  3.943  1.500  1
 505.8496  26.00  0.380  3.642  1.270  1
 506.0036  26.00  0.723  4.301  0.730  1
 506.0078  26.00  0.925  0.000  1.130  1
 506.2072  26.00  0.323  4.559  0.900  1
 506.2103  22.00  0.801  2.160  0.990  1
 506.4060  22.00  0.545  2.695  1.130  1
 506.4301  21.00  0.392  1.440  1.480  1
 506.4584  26.00  0.211  4.076  0.570  1
 506.4653  22.00  0.983  0.048  1.120  1
 506.4909  40.00  0.269  1.482  1.000  1
 506.4953  26.00  0.711  4.256  1.480  1
 506.5018  26.00  0.852  4.256  0.870  1
 506.5193  26.00  0.802  3.642  0.960  1
 506.5910  24.00  0.754  2.708  1.550  1
 506.5985  22.00  0.865  1.443  0.920  1
